c01727_NODE_17...region001,ERR3941139_contigs.region003
c03617_NODE_36...region001,ERR3946799_contigs.region006
c04047_NODE_40...region001,ERR3941139_contigs.region005
c00141_NODE_14...region001,ERR2239453_contigs.region003
c00190_NODE_19...region001,ERR2239454_contigs.region009
c00338_NODE_33...region001,ERR3946875_contigs.region005
c00437_NODE_43...region001,ERR3946863_contigs.region006
c00759_NODE_75...region001,ERR3946741_contigs.region006
c02087_NODE_20...region001,ERR3941140_contigs.region007
c02205_NODE_22...region001,ERR2239542_contigs.region002
c00218_NODE_21...region001,ERR2239518_contigs.region003
c00172_NODE_17...region001,ERR2239553_contigs.region002
c00570_NODE_57...region001,ERR3957990_contigs.region002
c00700_NODE_70...region001,ERR3941142_contigs.region004
c00938_NODE_93...region001,ERR3941142_contigs.region005
c01387_NODE_13...region001,ERR3946873_contigs.region008
c01510_NODE_15...region001,ERR2239247_contigs.region004
c02405_NODE_24...region001,ERR3941142_contigs.region008
c03252_NODE_32...region001,ERR3941142_contigs.region009
c04496_NODE_44...region001,ERR3941142_contigs.region010
c07360_NODE_73...region001,ERR3941142_contigs.region011
c00089_NODE_89...region001,ERR2239749_contigs.region001
c00233_NODE_23...region001,ERR2239478_contigs.region007
c00557_NODE_55...region001,ERR3941296_contigs.region002
c00636_NODE_63...region001,ERR3941187_contigs.region004
c02854_NODE_28...region001,ERR3941143_contigs.region006
c00021_NODE_21...region001,ERR2239799_contigs.region001
c00132_NODE_13...region001,ERR2239708_contigs.region001
c00729_NODE_72...region001,ERR3941266_contigs.region005
c01864_NODE_18...region001,ERR3941314_contigs.region008
c02582_NODE_25...region001,ERR3941144_contigs.region007
c02066_NODE_20...region001,ERR3941145_contigs.region002
c00077_NODE_77...region001,ERR2239098_contigs.region005
