Accession_id	Assembly_id	GenBank_id	Refseq_id
SAMN00000280	42808	GCA_000021805.1	GCF_000021805.1
SAMN02261252	627328	GCA_000332315.1	GCF_000332315.1
SAMN02261350	527258	GCA_000332215.1	GCF_000332215.1
SAMN02261339	649678	GCA_000332175.1	GCF_000332175.1
SAMN02261345	521928	GCA_000317145.1	GCF_000317145.1
SAMN02232029	504538	GCA_000317635.1	GCF_000317635.1
SAMN02744077	905841	GCA_001890765.1	GCF_001890765.1
SAMN02441755	49381	GCA_000447295.1	GCF_000447295.1
SAMN02261327	504058	GCA_000317435.1	GCF_000317435.1
SAMN02261254	626188	GCA_000332295.1	GCF_000332295.1
SAMN02261253	627348	GCA_000332335.1	GCF_000332335.1
SAMN02261343	649698	GCA_000332195.1	GCF_000332195.1
SAMN02261357	527198	GCA_000332095.1	GCF_000332095.1
